Index,comments
0,You are truly inspirational to many 
1,He gives so much hope to us that we can make it
2,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.
3,Most humble footballer 
4,This is sooo good. Unreal. Love this guy
5,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.
6,Let me know if anyone finds this track... it's sick.
7,Such a baller 
8, Alphonso !!! A truly inspirational story. Keep up the hard work   I  Nike
9,We need them Kyrie 8 to come out yall taking it to far now!!!
10,I Love the ad
11,How can i be come a part of that foot ball team
12,You are the 1 brother. Take your business to people who respect you and your heritage not disrespect it. Ban nike
13,They say I sound like Pac let me do it for free
14,what is this song
15,Alphonso Davies will always be number 1
16,Music please ?
17,what is this song
18,what is this song
19,what is this song
20,what is this song
21,top
22,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.
23,We're boycotting Nike
24,Nike we will boycott you for your anti black treatment of Kyrie. He apologized and you had no reason to cancel him. He has a right to speak and exist like anyone else. Explain how your treatment of Kyrie is in any way fair or just? We will cancel you. #boycottnike
25,They canceled him? This was the most inspiring things I’ve seen in a while idk why they do that this is one if those rare ads I decided not to skip and just watch
26,"The door knocking sound in the song is so annoying, I thought it was irl the first time"
27,Bye Nike I'll miss you In reality I can go the rest of my life without buying your product thank you very much   
28,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.
29,We done with Nike
30,Nike the best top!! 
31,too expensive
32,@Noel Alex  SHUT UP NOEL ALEX I'M GREIVING... Kobe was and still is a legend Idgaf about likes at all I just saw this video and wanted to give my respect!
33,"J- 10K stop asking for likes, he’s gone, that’s sad but don’t take advantage of it"
34,I love this !!!!!!!!
35,Can you guys remake the air max Flyknit HYPER GRAPE pleaseeeeeeeeeeeee pleasee 
36,imagine china kid do the shoes and the price is too expensive
37,Does Anyone know if this song in the background is a real song or made specifically for the commercial?
38,I can't believe it has so less comments 
39,"After viewing this ad for hundreds of times, I really feel it quite silly and annoying."
40,Great advertisement.
41,Nice creativity NIKE!!!Believe and Execute#visionairewear
42,Ain't no highlights it was 2020
43,"Sky and Ocean Brown... ,"
44,Why I can't be part of it
45,Those Hippie03s. I can already feel the L
46,I LOVE THIIIIS 
47,Alpha Fly!!!!
48,Chills!!
49,Nike do the best clothes in tha World! OmG!
50,Sky and ocean ly so much 
51,I CANT WAIITTTTT
52,how do you become a Nike model tho
53,Just do it 
54,"The amount of jump cuts though, are they really necassary?"
55,"If the editor's brief was to squeeze the whole event into 25 seconds, then yes, absolutely necessary."
56,82 millions views but only 1.6k likes
57,015 한국 유니폼
58,Wot?
59,my teacher assigned this to me
60,Damn... 83 million views but less than a 100 comments
61,song name pleaseeee
62,Why does this only have 85 comments
63,there's 82m viewer but 1.6k like only?!
64,I don't get it. 83 million views but 1.6k likes and 80 comments.
65,They run it constantly as an ad before other videos
66,ALL CHILDREN MATTER WORLD LOVE CAN SAVE HUMANITY. MAKE A DOG HAPPY FIX A CAT DONATE TO A LOCAL NOT FOR PROFIT ANIMAL RESCUE NEAR YOU.
67,I love u Nike but this runways show was so cringe
68,Some one there to donate his shoes. Am here
69,83m views and below 100 comments - ads be like
70,010 I know the kid in the yellow lakers jersey on the left
71,first
72,What is this
73,Why you giving a cripple some running shoes?
74,They are paralympic runners.
75,Why not?
76,Too many women 
77,I won't be buying any Nike stuff soon. Not when Nike says it will continue to support an athlete who is ejected from the Olympics over a drug test.
78,and nike shoes are too expensive for the price/ quality ratio
79,What's your all-time favorite Air Max sneaker?
80,BWs are the Kings 95s 2nd 91 3rd no other order the tns are OK but the new generation airmax are ruined in my opinion originals are originals and stay that way
81,@Joaquín Toledo yeah those were fire 
82,Air max 90 and the BW
83,@Abdel Maasmi The greatest shoes Nike Air Max Invigor and all the kind similars of Nike REQUIN/Nike Shark Tn
84,90s or tn
85,90s alwaysss
86,"90's, 1's and vapormax evo's"
87,720I had two 90s one 270 and now i want 720s
88,Air force 1
89,97s !!!!!!!
90,my first pair where air max classics bw. love that  shoe. now i rocking 90's
91,My favorite is Air force 1
92,I like the 1999 air max plus 1
93,2090/90 I find them similar and like them both
94,"TBH any air max i can get a Got Em screen on ( my record is 0-10, come on nike, show the love D"
95,AIR MAX 90's Infra-reds.
96,TNs
97,airmax 90 and 1
98,"Air Max 1 powerwall BRS. Please, drop it again!!"
99,Air Max 2009!  The most comfortable sneakers. Please bring them back
100,The vgrs
101,It’s between 90s and 97
102,"1s , 95s , 97s"
103,90 & 1. My first pair was in 1990
104,Jus got some obsidian grey 90 joints and a fire supreme tee go
105,
106,110s or 97
107,"@Robert Hill i rrally like the NEW AIR MAX 90 INFRESD'S .....  I'm set on buying them.  Now i can go dpend $120 CASH NO TAX... but might be BOOTLEGS because of the store there in. THE SIZE 12 WERE A LITTLE TIGHT THE SIZE 13 WERE COFORTABLE BIT I DID HAVE SOME TOE ROOM ..... A 12 1/2 WOULD BE PERFECT. DO THEY CARRY THEM IN A 12 1/2 if i went to FOOTLOCKER or somere like that in the mall ???  And hpw much are they at any reliable store Footlocker ect ... .. im in LONG ISLAND, Ny"
108,"@Brad Kells what do you mean my correct size air units ????     I only have one pair im a size 12 .... i bought them at the mall like 3 years ago grey/white there legit ... but a little snug length wise ...about 4 years ago my feet grew like a half a size and its really hard to find a 12.5 ... i haven't found one yet , i know they have them ....I was gonna buy the New white/black /orange airmax 90 Infered ..... they were probably boot leg but try to pass them off as real and charge legit prices .3/4 of the stuff in thevstore is shitty made clothes ect .. made in China probaly .... they have a few nice name brand clothes you can tell are made better but could just be a better knock off.       Anyway he wantes $130 but said he would take $120 CASH .... the 12's were really tight at first , then he got size 13's wich i hate because the sneakers in that size always look so big and im 6'2&quot; .... then i guess he lossened up all the laces in the size 12 cause i said the 13 are a little big , comfortable but like to long i had too much room from were my toe was ... put back on the 12's and were better , but id have to just tuck in the laces wich i do anyway sometimes, but they were still a tiny bit snug ....Do you know a popular store that would carry size 12,5 ???  Also do you know if these sneakers comne in a larger width size like some do.     I'm in Long Island, Ny thats why i asked a popular store for example FOOTLOCKER , ect .... Or even online ???  I really hate buying sneakers online because i like to try them on first , because certain sneakers are war to narrow for my feet ( I've always just bought a regular size 12 and was good , now i gotta woory about 12 -13 and width )and if theres no free shipping returns its a pain in the ass .  SORRY FOR THE BOOK I WROTE ANY HELP WOULD BE AWSOME , I ALWAYS LOVED AIR MAXES BUT REALLY HUST FELL IN LOVE WITG THEM CAUSE I CAN NOW AFFORD TGEM , BEFORE I HAD TO PRIORTIZE MY MONEY FIRST !!!!  -   THANKS SO MUCH !!!!"
109,90s all day
110,97 all white
