,Index,comments,location,dislikes,likes
0,0,You are truly inspirational to many ,delhi,19,31
1,1,He gives so much hope to us that we can make it,chennai,97,74
2,2,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.,delhi,78,20
3,3,Most humble footballer ,chennai,19,46
4,4,This is sooo good. Unreal. Love this guy,delhi,38,88
5,5,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.,delhi,13,7
6,6,Let me know if anyone finds this track... it's sick.,mumbai,47,39
7,7,Such a baller ,delhi,85,94
8,8, Alphonso !!! A truly inspirational story. Keep up the hard work   I  Nike,kolkata,21,35
9,9,We need them Kyrie 8 to come out yall taking it to far now!!!,delhi,80,81
10,10,I Love the ad,delhi,59,86
11,11,How can i be come a part of that foot ball team,bangalore,50,98
12,12,You are the 1 brother. Take your business to people who respect you and your heritage not disrespect it. Ban nike,kolkata,98,38
13,13,They say I sound like Pac let me do it for free,mumbai,30,47
14,14,what is this song,chennai,97,16
15,15,Alphonso Davies will always be number 1,bangalore,48,20
16,16,Music please ?,kolkata,74,27
17,17,what is this song,delhi,53,56
18,18,what is this song,kolkata,74,56
19,19,what is this song,bangalore,89,59
20,20,what is this song,bangalore,28,70
21,21,top,kolkata,62,24
22,22,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.,bangalore,14,15
23,23,We're boycotting Nike,kolkata,2,0
24,24,Nike we will boycott you for your anti black treatment of Kyrie. He apologized and you had no reason to cancel him. He has a right to speak and exist like anyone else. Explain how your treatment of Kyrie is in any way fair or just? We will cancel you. #boycottnike,mumbai,12,1
25,25,They canceled him? This was the most inspiring things I’ve seen in a while idk why they do that this is one if those rare ads I decided not to skip and just watch,bangalore,68,90
26,26,"The door knocking sound in the song is so annoying, I thought it was irl the first time",chennai,99,67
27,27,Bye Nike I'll miss you In reality I can go the rest of my life without buying your product thank you very much   ,mumbai,7,98
28,28,Congratulations you have been selected among our winners of 2022 FIFA World Cup Qatar  ticket draws. Quickly message the above Telegram for verification.,mumbai,85,42
29,29,We done with Nike,mumbai,47,56
30,30,Nike the best top!! ,delhi,98,23
31,31,too expensive,delhi,62,34
32,32,@Noel Alex  SHUT UP NOEL ALEX I'M GREIVING... Kobe was and still is a legend Idgaf about likes at all I just saw this video and wanted to give my respect!,mumbai,21,23
33,33,"J- 10K stop asking for likes, he’s gone, that’s sad but don’t take advantage of it",mumbai,24,27
34,34,I love this !!!!!!!!,chennai,51,4
35,35,Can you guys remake the air max Flyknit HYPER GRAPE pleaseeeeeeeeeeeee pleasee ,delhi,22,23
36,36,imagine china kid do the shoes and the price is too expensive,delhi,56,15
37,37,Does Anyone know if this song in the background is a real song or made specifically for the commercial?,chennai,89,12
38,38,I can't believe it has so less comments ,chennai,18,35
39,39,"After viewing this ad for hundreds of times, I really feel it quite silly and annoying.",bangalore,90,24
40,40,Great advertisement.,kolkata,90,57
41,41,Nice creativity NIKE!!!Believe and Execute#visionairewear,mumbai,4,32
42,42,Ain't no highlights it was 2020,kolkata,52,11
43,43,"Sky and Ocean Brown... ,",delhi,54,4
44,44,Why I can't be part of it,kolkata,99,70
45,45,Those Hippie03s. I can already feel the L,mumbai,44,77
46,46,I LOVE THIIIIS ,chennai,56,51
47,47,Alpha Fly!!!!,kolkata,22,73
48,48,Chills!!,bangalore,73,61
49,49,Nike do the best clothes in tha World! OmG!,kolkata,94,72
50,50,Sky and ocean ly so much ,delhi,24,98
51,51,I CANT WAIITTTTT,chennai,87,53
52,52,how do you become a Nike model tho,delhi,4,16
53,53,Just do it ,delhi,36,8
54,54,"The amount of jump cuts though, are they really necassary?",mumbai,43,87
55,55,"If the editor's brief was to squeeze the whole event into 25 seconds, then yes, absolutely necessary.",chennai,53,5
56,56,82 millions views but only 1.6k likes,delhi,7,45
57,57,015 한국 유니폼,bangalore,74,8
58,58,Wot?,mumbai,20,13
59,59,my teacher assigned this to me,chennai,42,79
60,60,Damn... 83 million views but less than a 100 comments,kolkata,58,97
61,61,song name pleaseeee,chennai,32,65
62,62,Why does this only have 85 comments,delhi,74,12
63,63,there's 82m viewer but 1.6k like only?!,mumbai,58,63
64,64,I don't get it. 83 million views but 1.6k likes and 80 comments.,delhi,44,45
65,65,They run it constantly as an ad before other videos,kolkata,82,5
66,66,ALL CHILDREN MATTER WORLD LOVE CAN SAVE HUMANITY. MAKE A DOG HAPPY FIX A CAT DONATE TO A LOCAL NOT FOR PROFIT ANIMAL RESCUE NEAR YOU.,chennai,72,94
67,67,I love u Nike but this runways show was so cringe,chennai,45,23
68,68,Some one there to donate his shoes. Am here,bangalore,24,74
69,69,83m views and below 100 comments - ads be like,kolkata,66,49
70,70,010 I know the kid in the yellow lakers jersey on the left,chennai,31,34
71,71,first,mumbai,70,19
72,72,What is this,kolkata,22,40
73,73,Why you giving a cripple some running shoes?,delhi,92,24
74,74,They are paralympic runners.,bangalore,3,95
75,75,Why not?,kolkata,33,67
76,76,Too many women ,kolkata,80,73
77,77,I won't be buying any Nike stuff soon. Not when Nike says it will continue to support an athlete who is ejected from the Olympics over a drug test.,chennai,41,79
78,78,and nike shoes are too expensive for the price/ quality ratio,chennai,1,97
79,79,What's your all-time favorite Air Max sneaker?,delhi,10,32
80,80,BWs are the Kings 95s 2nd 91 3rd no other order the tns are OK but the new generation airmax are ruined in my opinion originals are originals and stay that way,bangalore,82,93
81,81,@Joaquín Toledo yeah those were fire ,kolkata,65,85
82,82,Air max 90 and the BW,bangalore,37,91
83,83,@Abdel Maasmi The greatest shoes Nike Air Max Invigor and all the kind similars of Nike REQUIN/Nike Shark Tn,delhi,98,59
84,84,90s or tn,delhi,57,31
85,85,90s alwaysss,mumbai,71,97
86,86,"90's, 1's and vapormax evo's",chennai,15,36
87,87,720I had two 90s one 270 and now i want 720s,bangalore,78,92
88,88,Air force 1,bangalore,77,36
89,89,97s !!!!!!!,delhi,63,26
90,90,my first pair where air max classics bw. love that  shoe. now i rocking 90's,bangalore,86,10
91,91,My favorite is Air force 1,delhi,54,46
92,92,I like the 1999 air max plus 1,kolkata,25,64
93,93,2090/90 I find them similar and like them both,kolkata,91,3
94,94,"TBH any air max i can get a Got Em screen on ( my record is 0-10, come on nike, show the love D",kolkata,17,66
95,95,AIR MAX 90's Infra-reds.,mumbai,7,50
96,96,TNs,delhi,53,16
97,97,airmax 90 and 1,bangalore,10,19
98,98,"Air Max 1 powerwall BRS. Please, drop it again!!",kolkata,87,6
99,99,Air Max 2009!  The most comfortable sneakers. Please bring them back,chennai,99,49
100,100,The vgrs,chennai,51,24
101,101,It’s between 90s and 97,chennai,87,72
102,102,"1s , 95s , 97s",kolkata,47,3
103,103,90 & 1. My first pair was in 1990,bangalore,42,33
104,104,Jus got some obsidian grey 90 joints and a fire supreme tee go,mumbai,21,5
105,105,,bangalore,1,61
106,106,110s or 97,delhi,70,72
107,107,"@Robert Hill i rrally like the NEW AIR MAX 90 INFRESD'S .....  I'm set on buying them.  Now i can go dpend $120 CASH NO TAX... but might be BOOTLEGS because of the store there in. THE SIZE 12 WERE A LITTLE TIGHT THE SIZE 13 WERE COFORTABLE BIT I DID HAVE SOME TOE ROOM ..... A 12 1/2 WOULD BE PERFECT. DO THEY CARRY THEM IN A 12 1/2 if i went to FOOTLOCKER or somere like that in the mall ???  And hpw much are they at any reliable store Footlocker ect ... .. im in LONG ISLAND, Ny",kolkata,94,30
108,108,"@Brad Kells what do you mean my correct size air units ????     I only have one pair im a size 12 .... i bought them at the mall like 3 years ago grey/white there legit ... but a little snug length wise ...about 4 years ago my feet grew like a half a size and its really hard to find a 12.5 ... i haven't found one yet , i know they have them ....I was gonna buy the New white/black /orange airmax 90 Infered ..... they were probably boot leg but try to pass them off as real and charge legit prices .3/4 of the stuff in thevstore is shitty made clothes ect .. made in China probaly .... they have a few nice name brand clothes you can tell are made better but could just be a better knock off.       Anyway he wantes $130 but said he would take $120 CASH .... the 12's were really tight at first , then he got size 13's wich i hate because the sneakers in that size always look so big and im 6'2&quot; .... then i guess he lossened up all the laces in the size 12 cause i said the 13 are a little big , comfortable but like to long i had too much room from were my toe was ... put back on the 12's and were better , but id have to just tuck in the laces wich i do anyway sometimes, but they were still a tiny bit snug ....Do you know a popular store that would carry size 12,5 ???  Also do you know if these sneakers comne in a larger width size like some do.     I'm in Long Island, Ny thats why i asked a popular store for example FOOTLOCKER , ect .... Or even online ???  I really hate buying sneakers online because i like to try them on first , because certain sneakers are war to narrow for my feet ( I've always just bought a regular size 12 and was good , now i gotta woory about 12 -13 and width )and if theres no free shipping returns its a pain in the ass .  SORRY FOR THE BOOK I WROTE ANY HELP WOULD BE AWSOME , I ALWAYS LOVED AIR MAXES BUT REALLY HUST FELL IN LOVE WITG THEM CAUSE I CAN NOW AFFORD TGEM , BEFORE I HAD TO PRIORTIZE MY MONEY FIRST !!!!  -   THANKS SO MUCH !!!!",chennai,68,32
109,109,90s all day,mumbai,12,79
110,110,97 all white,mumbai,45,62
111,111,Which air max is the lady wearing at the beginning of the video.. would appreciate the help,mumbai,48,34
112,112,air max 270 react eng photon dust,delhi,81,59
113,113,AirMax react 270 ENG,bangalore,55,68
114,114,The Air Max 97 gives me quivers... nothing is better than that sneaker in my opinion,kolkata,57,79
115,115,air max 97s worldwide edition,kolkata,0,16
116,116,One's. The original OG.,kolkata,87,47
117,117,720 and 2090,chennai,32,40
118,118,"SHAME THE AIR UNIT GOT SO SMALL, BACK IN THE 90'S THE AIR UNIT WAS WAY BIGGER, ESPECIALLY ON THE 180'S, NIKE PLEASE BRING BACK THE OLD AIR UNIT ",bangalore,5,83
119,119,97's and exosense,mumbai,92,83
120,120,Looks air max 1. Wear air max 90. Comfort 95,kolkata,88,50
121,121,"95 , vapormax plus, all the way up !",chennai,75,60
122,122,@vANdAL Air Max 95 and 97 are critical!!!,bangalore,76,33
123,123,@M Chris I got Scottie Pippens still from 2013,chennai,14,43
124,124,"@nike Air Force 180 Max Barkley Edition, BWs and 95s",delhi,22,26
125,125,Most of them have a deeply equal resonance to my taste! ,delhi,19,31
126,126,Too hard of a question to answer. It's a tie between the Air Max 1 and the Air Max 90. As far as colorways go that is impossible for me to say.,bangalore,56,28
127,127,Yeezy red october,delhi,90,62
128,128,"No one , nuthin but air jordan",mumbai,62,69
129,129,"1s, 720, 97 and more",chennai,69,63
130,130,Sean wotherspoons 97/1,delhi,12,73
131,131,Air max 90s or the 270s,chennai,7,77
132,132,Gotta say the  I'm torn between the Air Max 90 and 95,delhi,98,72
133,133,720s all the way,chennai,61,22
134,134,95’s for me but I rock them all!,kolkata,77,65
135,135,Infared 90s & Laser blue 90s,delhi,40,84
136,136,Nike cristiano 's all collection,kolkata,66,69
137,137,Air Max Plus Tn,delhi,14,21
138,138,Am90 vintage yellow,delhi,5,55
139,139,do you NIKE have the Photo/concept of all your models? from the 1 to the last? because I'm sure I had a pair at 1997 and never saw it again. consider look at last time and relaunch some models.  but my favorite was a 200 and obviously Jordan's,chennai,21,41
140,140,always was and always will be Air Max 90's,delhi,84,61
141,141,Air max 90 essential before they were recrafted few months ago,delhi,74,40
142,142,The first ones are the best TN are rubbish I got vapourmax don't rate them 95s are great an 90s but pls the first ones are there best,bangalore,7,8
143,143,Send me one please,mumbai,12,0
144,144,Without a doubt the 90s,bangalore,14,96
145,145,90 and 1,bangalore,81,91
146,146,95's 97's 98's,mumbai,94,40
147,147,Black 270s with blue + turquoise ticks,chennai,21,56
148,148,My favourite is actually 2 different air max the 2015 and the 2016 but since they looked pretty much the same I could go with either year,kolkata,77,44
149,149,"Of all I have, Royal AM1 Anniversaries or Silver Bullet 97s",chennai,40,17
150,150,94s Air Max 2 lights,chennai,16,2
151,151,95s ,mumbai,32,33
152,152,Air Max Classic bw - only and forever! You don't seem to give it much love though for some reason =\,mumbai,94,97
153,153,"1's, 90's, 97's, TN 1's, TN 3's",delhi,19,92
154,154,90s of course!  but i like the classic bw and one too,mumbai,71,66
155,155,"Two styles Nike Tns,+Tailwinds l reckon... Same brand's, same again.. GRACE",chennai,18,15
156,156,I grew up in the 90s and my favorite airmax use to be the 97s but them vapormax is the most beautiful nike airmax ever made. But if they aren’t considered airmax and vapormax is its own entity then ima have to stick with the 97s.,bangalore,48,76
157,157,the recraftet air max 90 is trash at least bring back the (g)old ones as an iD shoe or something. please nike.,kolkata,95,82
158,158,Dont own a pair but 90s for sure,delhi,67,90
159,159,90s and 97,bangalore,45,14
160,160,Can ya'll donate me a free pair of Airmax 90s I'm size 10 but can also wear an 11 thanks dm me thanks Nike.,mumbai,91,11
161,161,95 of course,chennai,90,3
162,162,180 og colorway for sentimental reasons that it is my first ever airmax and it's comfy af,kolkata,95,71
163,163,the air max 90 I had the one that looks like a notebook it was white and black with a blue line copybook page it was awesome,delhi,28,38
164,164,95s all the way!!,bangalore,82,63
165,165,90s and 270s ,chennai,4,91
166,166,Air Max 90 infeared,bangalore,25,8
167,167,Hook me up with a pair,delhi,14,17
168,168,Air Max 1 and silver bullet 97’s,bangalore,73,46
169,169,"been wearing almost only air max since 90's . now i have zoom all out , airmax 720 horizon and airmax 97 haven .",delhi,56,7
170,170,BW's.,chennai,67,91
171,171,Too many iconic trainers but would like to see nike air max 98 tl,kolkata,12,41
172,172,"Can you please re release some air max bw ultras. Since the 97s, you've been in desperate need to find a new Tinker. In the U.S every number Jordan is readily available yet in europe you've hid all the air maxes under your bed and forcing us to buy all your new ugly crap.",delhi,66,58
173,173,wait what about air max plus?,mumbai,38,58
174,174,Air Vapour Max Plus and Air Max 95,delhi,46,78
175,175,Infrared 90's  ultramarine 90 + 180 best colourwayzzz Ever !!!!,delhi,63,1
176,176,air max bw persian violet,delhi,1,81
177,177,90 and I love 98 and TN,delhi,95,75
178,178,defo 720 . however if vapormaxs plusses where counted as air force then ...,mumbai,23,97
179,179,"180 CDG, the colorway is fire",chennai,25,84
180,180,TWO SEVENTY,chennai,21,58
181,181,"I have to go with the OG Air Max 1's, and with the Varsity Red colorway.",kolkata,47,97
182,182,Specifically its the Air Max 97/1 Wotherspoons,delhi,59,46
183,183,Nike Air Force 1’s all day! Some of the best and most well executed materials / designs and collabs created on a shoe,chennai,24,92
184,184,Sliver 97 or All White Air Max 90,chennai,94,10
185,185,Air max 95s and 97s,chennai,19,39
186,186, It is the worst shoe and the stupidest idea for shoes on the face of the earth .. Because I bought several years ago the Air Max shoes and when I went and friends on the way to the cinema I walked by mistake on a nail that was lying on the floor and suddenly the air was emptied from the inside of the shoe and I became walking and limp and my shape became embarrassing in the street .. Since that day I have been sharing all of my acquaintances and friends and social media with this disastrous experience with this stupid shoe so that a small nail in the street makes it useless.,kolkata,82,66
187,187,Tn 2 & Tn 7,kolkata,29,43
188,188,Nike air max classics,delhi,44,89
189,189,@Robbe Schoormans TOP!!,bangalore,66,49
190,190,air max classic bw,bangalore,98,15
191,191,Air force 1,kolkata,50,2
192,192,My Brown Leather Classic BW´s in my Collection that i wear for 13 Years but then the Foam of the Soles are breaking The Top looks like a 6 Months old shoe and i was on many Gabber Parties between the 90´s and mid 00´s I LUV That Shoe and it has his place in my glass cabinet since few years,delhi,79,55
193,193,im about to buy my 1st pair of Nike Air Max,mumbai,5,18
194,194,@Robert Mills 97s are only for girls imo,mumbai,84,62
195,195,"How can you choose? 90's, 95's, 97's... All CLASSIC!",delhi,57,2
196,196,AM1,delhi,36,57
197,197,hard to choose between 95 and 98,delhi,77,79
198,198,90s. 100%,delhi,30,2
199,199,90 or 97,chennai,68,1
200,200,Air Max Tailwind 5 SP. Re Release them please.,mumbai,21,66
201,201,"Air max BW ,, can’t find them anywhere BRING THEM BACK NIKE ,, more iconic than 90’s to me",mumbai,44,3
202,202,Nike only sells to the wealthy people of America. They're not looking for common folk to rep their brand.,mumbai,59,31
203,203,How has nobody mentioned Airmax Ltd? My first ever pair of airmax ,delhi,72,18
204,204,90 infrared for sure,chennai,98,94
205,205,97' and 1,kolkata,51,53
206,206,Air max 270 reacts,chennai,89,60
207,207,My all time favorite Air Max are the original 1998 yellow and  navy pair. But I have been wearing airmax's for as long as I can remember and don't remember not having any that were released in the 90's....,bangalore,90,11
208,208,90's  black grey white colorway,mumbai,57,37
209,209,Bring back the BW!,mumbai,80,23
210,210,My preferred are the Air 180 & the ‘93 so I guess I’m gonna skip this  event this year...Also it would be nice to see the Air Trainer Max 93 to be released again.,delhi,44,86
211,211,Airmax 1 in the classic red white color way,chennai,20,83
212,212,"90s , 270s",bangalore,31,26
213,213,"Air Max 97, no straight line is just fire",delhi,55,76
214,214,"90's,95's and 97's",mumbai,7,4
215,215,Air max 270 react bauhaus,bangalore,80,76
216,216,BW and TN,bangalore,38,22
217,217,"1s, 90s,97s and some colourways  of the air 270s",bangalore,13,32
218,218,97's!throw a giveaway guys!,bangalore,69,87
